Component	CO2 	 CH4	N2O	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	H-1202	C3F8	C4F10	C5F12	C7F16	C8F18	cC4F8	SO2F2	HFC236fa	HFC152a	HFC365mfc	CH2Cl2	CHCl3	CH3Cl	NF3 
Unit 	 ppm	ppb	ppb	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt
Description 	 fossil_fuel 	 landuse 	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total
Reference	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	No data	igcc_historical	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	igcc_historical	No data	igcc_historical	igcc_historical	No data	igcc_historical	No data	No data	igcc_historical	igcc_historical	No data	igcc_historical	No data	No data	No data	igcc_historical	igcc_historical	igcc_historical	igcc_historical
1798	281.836587	766.832000	271.060000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911325	4.800000	457.000000	0.000000
1799	281.908644	767.616000	271.080000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911353	4.800000	457.000000	0.000000
1800	281.980701	768.400000	271.100000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911381	4.800000	457.000000	0.000000
1801	282.052758	769.184000	271.120000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911408	4.800000	457.000000	0.000000
1802	282.124815	769.968000	271.140000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911436	4.800000	457.000000	0.000000
1803	282.196872	770.752000	271.160000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911463	4.800000	457.000000	0.000000
1804	282.268929	771.536000	271.180000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911491	4.800000	457.000000	0.000000
1805	282.340985	772.320000	271.200000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911519	4.800000	457.000000	0.000000
1806	282.413042	773.104000	271.220000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911546	4.800000	457.000000	0.000000
1807	282.485099	773.888000	271.240000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911574	4.800000	457.000000	0.000000
1808	282.557156	774.672000	271.260000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911602	4.800000	457.000000	0.000000
1809	282.629213	775.456000	271.280000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911629	4.800000	457.000000	0.000000
1810	282.701270	776.240000	271.300000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911657	4.800000	457.000000	0.000000
1811	282.773327	777.024000	271.320000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911684	4.800000	457.000000	0.000000
1812	282.845384	777.808000	271.340000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911712	4.800000	457.000000	0.000000
1813	282.917440	778.592000	271.360000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911740	4.800000	457.000000	0.000000
1814	282.989497	779.376000	271.380000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911767	4.800000	457.000000	0.000000
1815	283.061554	780.160000	271.400000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911795	4.800000	457.000000	0.000000
1816	283.133611	780.944000	271.420000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911822	4.800000	457.000000	0.000000
1817	283.205668	781.728000	271.440000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911850	4.800000	457.000000	0.000000
1818	283.277725	782.512000	271.460000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911878	4.800000	457.000000	0.000000
1819	283.349782	783.296000	271.480000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911905	4.800000	457.000000	0.000000
1820	283.421839	784.080000	271.500000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911933	4.800000	457.000000	0.000000
1821	283.493895	784.864000	271.520000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911961	4.800000	457.000000	0.000000
1822	283.565952	785.648000	271.540000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911988	4.800000	457.000000	0.000000
1823	283.638009	786.432000	271.560000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912016	4.800000	457.000000	0.000000
1824	283.710066	787.216000	271.580000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912043	4.800000	457.000000	0.000000
1825	283.782123	788.000000	271.600000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912071	4.800000	457.000000	0.000000
1826	283.854180	788.784000	271.620000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912099	4.800000	457.000000	0.000000
1827	283.926237	789.568000	271.640000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912126	4.800000	457.000000	0.000000
1828	283.998294	790.352000	271.660000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912154	4.800000	457.000000	0.000000
1829	284.070351	791.136000	271.680000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912181	4.800000	457.000000	0.000000
1830	284.142407	791.920000	271.700000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912209	4.800000	457.000000	0.000000
1831	284.214464	792.704000	271.720000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912237	4.800000	457.000000	0.000000
1832	284.286521	793.488000	271.740000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912264	4.800000	457.000000	0.000000
1833	284.358578	794.272000	271.760000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912292	4.800000	457.000000	0.000000
1834	284.430635	795.056000	271.780000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912319	4.800000	457.000000	0.000000
1835	284.502692	795.840000	271.800000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912347	4.800000	457.000000	0.000000
1836	284.574749	796.624000	271.820000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912375	4.800000	457.000000	0.000000
1837	284.646806	797.408000	271.840000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912402	4.800000	457.000000	0.000000
1838	284.718862	798.192000	271.860000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912430	4.800000	457.000000	0.000000
1839	284.790919	798.976000	271.880000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912458	4.800000	457.000000	0.000000
1840	284.862976	799.760000	271.900000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912485	4.800000	457.000000	0.000000
1841	284.935033	800.544000	271.920000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912513	4.800000	457.000000	0.000000
1842	285.007090	801.328000	271.940000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912540	4.800000	457.000000	0.000000
1843	285.079147	802.112000	271.960000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912568	4.800000	457.000000	0.000000
1844	285.151204	802.896000	271.980000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912596	4.800000	457.000000	0.000000
1845	285.223261	803.680000	272.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912623	4.800000	457.000000	0.000000
1846	285.295317	804.464000	272.020000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912651	4.800000	457.000000	0.000000
1847	285.367374	805.248000	272.040000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912678	4.800000	457.000000	0.000000
1848	285.439431	806.032000	272.060000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912706	4.800000	457.000000	0.000000
1849	285.511488	806.816000	272.080000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912734	4.800000	457.000000	0.000000
1850	285.583545	807.600000	272.100000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912761	4.800000	457.000000	0.000000
1851	285.705553	807.768974	272.181132	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000010	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.912761	4.800000	457.000000	0.000000
1852	285.843588	808.522849	272.262214	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000021	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000022	0.0	0.0	0.0	6.912761	4.800000	457.000000	0.000000
1853	285.967605	809.768605	272.365269	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000031	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000022	0.0	0.0	0.0	6.912761	4.800000	457.000000	0.000000
1854	286.073632	811.101520	272.471345	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000041	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000022	0.0	0.0	0.0	6.912761	4.800000	457.000000	0.000000
1855	286.159625	812.706285	272.585447	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000052	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000022	0.0	0.0	0.0	6.912761	4.800000	457.000000	0.000000
1856	286.258628	814.175247	272.700495	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000063	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000023	0.0	0.0	0.0	6.912761	4.800000	457.000000	0.000000
1857	286.404665	815.836104	272.804587	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000073	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000023	0.0	0.0	0.0	6.912761	4.800000	457.000000	0.000000
1858	286.560689	817.743908	272.892658	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000084	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000023	0.0	0.0	0.0	6.912761	4.800000	457.000000	0.000000
1859	286.727769	819.789714	273.038742	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000095	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000023	0.0	0.0	0.0	6.912761	4.800000	457.000000	0.000000
1860	286.912839	821.710641	273.206830	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000105	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000023	0.0	0.0	0.0	6.912761	4.800000	457.000000	0.000000
