Component	CO2 	 CH4	N2O	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	H-1202	C3F8	C4F10	C5F12	C7F16	C8F18	cC4F8	SO2F2	HFC236fa	HFC152a	HFC365mfc	CH2Cl2	CHCl3	CH3Cl	NF3 
Unit 	 ppm	ppb	ppb	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt
Description 	 fossil_fuel 	 landuse 	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total
Reference	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	No data	igcc_historical	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	igcc_historical	No data	igcc_historical	igcc_historical	No data	igcc_historical	No data	No data	igcc_historical	igcc_historical	No data	igcc_historical	No data	No data	No data	igcc_historical	igcc_historical	igcc_historical	igcc_historical
1761	279.170483	737.824000	270.320000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910304	4.800000	457.000000	0.000000
1762	279.242540	738.608000	270.340000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910331	4.800000	457.000000	0.000000
1763	279.314596	739.392000	270.360000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910359	4.800000	457.000000	0.000000
1764	279.386653	740.176000	270.380000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910387	4.800000	457.000000	0.000000
1765	279.458710	740.960000	270.400000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910414	4.800000	457.000000	0.000000
1766	279.530767	741.744000	270.420000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910442	4.800000	457.000000	0.000000
1767	279.602824	742.528000	270.440000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910469	4.800000	457.000000	0.000000
1768	279.674881	743.312000	270.460000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910497	4.800000	457.000000	0.000000
1769	279.746938	744.096000	270.480000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910525	4.800000	457.000000	0.000000
1770	279.818995	744.880000	270.500000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910552	4.800000	457.000000	0.000000
1771	279.891051	745.664000	270.520000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910580	4.800000	457.000000	0.000000
1772	279.963108	746.448000	270.540000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910607	4.800000	457.000000	0.000000
1773	280.035165	747.232000	270.560000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910635	4.800000	457.000000	0.000000
1774	280.107222	748.016000	270.580000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910663	4.800000	457.000000	0.000000
1775	280.179279	748.800000	270.600000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910690	4.800000	457.000000	0.000000
1776	280.251336	749.584000	270.620000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910718	4.800000	457.000000	0.000000
1777	280.323393	750.368000	270.640000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910746	4.800000	457.000000	0.000000
