rung,dump,status,ECS_med,ECS_p05,ECS_p95,ECS_n,TCR_med,TCR_p05,TCR_p95,TCR_n,TCRE_med,TCRE_p05,TCRE_p95,ZEC50_med,ZEC50_p05,ZEC50_p95,ZEC100_med,ZEC100_p05,ZEC100_p95,TPW_med,TPW_p05,TPW_p95,W_scen7H_med,W_scen7H_p05,W_scen7H_p95,W_scen7VL_med,W_scen7VL_p05,W_scen7VL_p95
0 baseline (v1),out_file_dump_nopattern_noefficacy,done,3.1118431684027534,2.1071866820648544,5.077315227649346,400,1.9449750845255924,1.4903900872828588,2.4946241246674727,400,1.66847582841682,1.244546923763544,2.2118976417267184,-0.2586628692831153,-0.3906427179869908,-0.06059709810862714,-0.42759034214151165,-0.6559333451540444,-0.16863752287222256,-15.5,-23.49999999999997,-3.499999999999972,3.2347940590704662,2.5177353100708295,4.26532782388981,1.574472859328852,1.083767512480723,2.1981916330824136
1 +efficacy,out_file_dump_nopattern,done,3.3495897893409774,2.1954819572640187,6.07478154022052,400,1.980403916963431,1.5574586626814806,2.4807882516929385,400,1.7157983962936187,1.2959501986039594,2.3122538027432316,-0.2282844214506986,-0.39202738841348694,-0.03336681393141382,-0.3865275168751364,-0.6553603581004454,-0.15479102594443947,-14.5,-22.5,-2.5,3.312568928028875,2.598908685074655,4.443840942982472,1.648285980646603,1.144151520633224,2.3741832851257034
2 +pattern,out_file_dump,done,4.82450449628356,2.600016237380616,7.880755807693767,500,2.366744532065495,1.73633760410298,3.226938687692804,500,2.165517719078125,1.446355608646959,2.943039970994498,-0.18352001651181976,-0.3750513674682046,0.07754727127768463,-0.36807984947010763,-0.6521993254440884,0.0014294981018484827,-9.5,-20.5,3.5000000000000284,3.7975606006612384,2.7736445234983553,4.822466583948369,2.1224576211897244,1.3150175788207046,2.906027649570971
4a IPCC+pattern,out_file_dump_ar7_v1,done,3.198628120625672,2.2310808524653947,5.814800890582414,500,2.0737743814992027,1.4409254404557432,2.663117849837799,500,,,,,,,,,,,,,3.313275853709998,2.5354944022643706,4.361509585453678,1.6775397028313894,1.169979413741332,2.523291522155888
