Component	CO2 	 CH4	N2O	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	H-1202	C3F8	C4F10	C5F12	C7F16	C8F18	cC4F8	SO2F2	HFC236fa	HFC152a	HFC365mfc	CH2Cl2	CHCl3	CH3Cl	NF3 
Unit 	 ppm	ppb	ppb	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt
Description 	 fossil_fuel 	 landuse 	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total
Reference	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	No data	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	No data	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical
1761	279.17048268	737.8240000000001	270.32000000000005	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9103037408	4.8	457.0	0.0
1762	279.24253956	738.6080000000001	270.34000000000003	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9103313536	4.8	457.0	0.0
1763	279.31459644	739.392	270.36	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9103589664000005	4.8	457.0	0.0
1764	279.38665332	740.176	270.38	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9103865792	4.8	457.0	0.0
1765	279.4587102	740.96	270.40000000000003	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.910414192	4.8	457.0	0.0
1766	279.53076708000003	741.744	270.42	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9104418048000005	4.8	457.0	0.0
1767	279.60282396	742.528	270.44	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9104694176	4.8	457.0	0.0
1768	279.67488084	743.312	270.46000000000004	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9104970304	4.8	457.0	0.0
1769	279.74693772	744.096	270.48	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9105246432000005	4.8	457.0	0.0
1770	279.8189946	744.88	270.5	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.910552256	4.8	457.0	0.0
